timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764710625015,205,GET - Filmes,200,OK,Thread Group 1-33,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,0
1764710625015,205,GET - Filmes,200,OK,Thread Group 1-34,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,0
1764710625015,205,GET - Filmes,200,OK,Thread Group 1-30,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,0
1764710625015,207,GET - Filmes,200,OK,Thread Group 1-29,text,true,,540,158,100,100,http://localhost:3000/api/filmes,207,0,0
1764710625016,206,GET - Filmes,200,OK,Thread Group 1-35,text,true,,540,158,100,100,http://localhost:3000/api/filmes,206,0,0
1764710625016,206,GET - Filmes,200,OK,Thread Group 1-36,text,true,,540,158,100,100,http://localhost:3000/api/filmes,206,0,0
1764710625016,206,GET - Filmes,200,OK,Thread Group 1-39,text,true,,540,158,100,100,http://localhost:3000/api/filmes,206,0,0
1764710625017,205,GET - Filmes,200,OK,Thread Group 1-38,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,0
1764710625017,205,GET - Filmes,200,OK,Thread Group 1-32,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,0
1764710625017,205,GET - Filmes,200,OK,Thread Group 1-37,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,0
1764710625018,205,GET - Filmes,200,OK,Thread Group 1-40,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,0
1764710625018,205,GET - Filmes,200,OK,Thread Group 1-42,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,0
1764710625018,205,GET - Filmes,200,OK,Thread Group 1-41,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,0
1764710625018,205,GET - Filmes,200,OK,Thread Group 1-43,text,true,,540,158,100,100,http://localhost:3000/api/filmes,205,0,0
